id,sc_id,presence,timestamp
1,1,0,1420077337990
2,2,1,1420085563641
3,3,1,1420150612918
4,4,0,1420102226759
5,5,1,1420107277722
6,6,1,1420120652860
7,7,1,1420136337162
8,8,0,1420100930665
9,9,1,1420111980320
10,10,0,1420138133684
11,11,1,1420120729496
12,12,1,1420116569874
13,13,1,1420083838535
14,14,1,1420070785480
15,15,1,1420145289184
16,16,1,1420152861728
17,17,1,1420080080870
18,18,0,1420092044573
19,19,1,1420084770484
20,20,1,1420138571413
21,21,1,1420139890902
22,22,1,1420133541737
23,23,1,1420142947494
24,24,1,1420106371025
25,25,1,1420077075111
26,26,0,1420130103869
27,27,1,1420103209395
28,28,1,1420121047022
29,29,1,1420147124767
30,30,0,1420120768336
31,31,1,1420145196015
32,32,1,1420143903878
33,33,1,1420108606493
34,34,1,1420091206750
35,35,1,1420088542585
36,36,0,1420076213803
37,37,1,1420111401796
38,38,1,1420128099525
39,39,0,1420086370370
40,40,1,1420111575499
41,41,1,1420073968902
42,42,1,1420135425713
43,43,1,1420129038515
44,44,1,1420089293344
45,45,0,1420101665301
46,46,0,1420144510936
47,47,1,1420104714333
48,48,1,1420097344320
49,49,1,1420072009106
50,50,1,1420106829211
51,51,0,1420109596683
52,52,1,1420109063427
53,53,1,1420145028809
54,54,1,1420104629421
55,55,1,1420120144905
56,56,1,1420074122297
57,57,1,1420070467124
58,58,1,1420154137535
59,59,1,1420156457208
60,60,1,1420112520772
61,61,1,1420086713249
62,62,1,1420072514025
63,63,1,1420138639782
64,64,1,1420146118996
65,65,1,1420120894336
66,66,1,1420155987068
67,67,1,1420080557998
68,68,1,1420127312207
69,69,1,1420114335304
70,70,1,1420071340006
71,71,1,1420104035182
72,72,1,1420115262793
73,73,1,1420103428057
74,74,0,1420106663179
75,75,1,1420102275223
76,76,1,1420090483202
77,77,0,1420151186507
78,78,1,1420089975011
79,79,1,1420145552162
80,80,0,1420145093121
81,81,1,1420116187006
82,82,1,1420096159693
83,83,0,1420117298395
84,84,1,1420132243727
85,85,0,1420081038705
86,86,1,1420102078532
87,87,1,1420096967664
88,88,0,1420127135056
89,89,1,1420155970447
90,90,0,1420120948443
91,91,1,1420151000138
92,92,1,1420082854502
93,93,1,1420136911128
94,94,1,1420105724190
95,95,1,1420088328320
96,96,1,1420079597817
97,97,0,1420089958108
98,98,1,1420100443763
99,99,1,1420148723200
100,100,1,1420072512995
101,101,1,1420136886413
102,102,1,1420110833715
103,103,1,1420140430985
104,104,0,1420076924512
105,105,1,1420132048726
106,106,1,1420127069363
107,107,1,1420123596045
108,108,0,1420097685058
109,109,1,1420131376343
110,110,0,1420134665171
111,111,1,1420097921936
112,112,1,1420153665513
113,113,0,1420104364891
114,114,1,1420119013503
115,115,1,1420117541374
116,116,1,1420104115942
117,117,1,1420140093496
118,118,0,1420084218642
119,119,0,1420104718106
120,120,0,1420122445269
121,121,1,1420086642756
122,122,1,1420079158739
123,123,0,1420126588665
124,124,1,1420086553646
125,125,0,1420079869495
126,126,1,1420111921409
127,127,0,1420148143534
128,128,1,1420138238419
129,129,1,1420126704580
130,130,0,1420074747703
131,131,1,1420139550671
132,132,1,1420112897356
133,133,1,1420146096108
134,1,1,1420167045306
135,2,1,1420163466923
136,3,1,1420237119846
137,4,1,1420203255250
138,5,1,1420215419138
139,6,1,1420239013985
140,7,1,1420183405103
141,8,1,1420181389649
142,9,0,1420206472299
143,10,1,1420209181070
144,11,1,1420212732418
145,12,1,1420219752206
146,13,1,1420163286693
147,14,0,1420227770584
148,15,1,1420223733272
149,16,1,1420238614103
150,17,1,1420229858458
151,18,1,1420160823227
152,19,1,1420222698100
153,20,1,1420175858142
154,21,1,1420228686600
155,22,1,1420208470886
156,23,1,1420192143791
157,24,1,1420179219843
158,25,1,1420180436138
159,26,1,1420162221688
160,27,1,1420196407788
161,28,0,1420239521891
162,29,1,1420173426531
163,30,1,1420174152076
164,31,1,1420232791919
165,32,1,1420222660488
166,33,1,1420228060857
167,34,1,1420239844548
168,35,1,1420212428128
169,36,1,1420239063908
170,37,1,1420171034611
171,38,1,1420209967787
172,39,1,1420200786895
173,40,1,1420158375248
174,41,0,1420190610134
175,42,0,1420207774638
176,43,1,1420234415627
177,44,1,1420177487484
178,45,0,1420177550561
179,46,1,1420190848745
180,47,1,1420232258445
181,48,1,1420178695577
182,49,1,1420180183007
183,50,1,1420215483153
184,51,0,1420196114646
185,52,0,1420206211126
186,53,0,1420161908429
187,54,0,1420192003362
188,55,0,1420193381834
189,56,1,1420157885233
190,57,1,1420174722509
191,58,0,1420172358720
192,59,1,1420226531004
193,60,1,1420172348695
194,61,1,1420242384801
195,62,1,1420176406774
196,63,1,1420185224405
197,64,0,1420199681112
198,65,1,1420167593738
199,66,0,1420195177562
200,67,1,1420168766548
201,68,1,1420169186170
202,69,1,1420233029740
203,70,1,1420181884225
204,71,1,1420158151213
205,72,1,1420194462826
206,73,1,1420222716183
207,74,1,1420197343192
208,75,1,1420208897741
209,76,1,1420173436665
210,77,0,1420174044247
211,78,0,1420238618892
212,79,1,1420213400000
213,80,0,1420199366998
214,81,1,1420192457928
215,82,1,1420177010851
216,83,1,1420240179519
217,84,1,1420226870459
218,85,0,1420210316243
219,86,0,1420219561832
220,87,1,1420161979692
221,88,1,1420171806625
222,89,1,1420195874024
223,90,1,1420233750453
224,91,0,1420197913989
225,92,1,1420207319877
226,93,1,1420226020322
227,94,1,1420177963157
228,95,1,1420209849108
229,96,1,1420217170587
230,97,0,1420157119878
231,98,1,1420215228660
232,99,0,1420159758248
233,100,1,1420215806466
234,101,0,1420227924505
235,102,1,1420190099275
236,103,1,1420178106962
237,104,1,1420228649773
238,105,0,1420200429288
239,106,0,1420217112363
240,107,0,1420204496380
241,108,1,1420177964527
242,109,0,1420219114831
243,110,0,1420227546809
244,111,1,1420189700617
245,112,1,1420209238592
246,113,1,1420169026591
247,114,1,1420206452972
248,115,0,1420192223486
249,116,1,1420216005523
250,117,1,1420242707205
251,118,1,1420211721789
252,119,1,1420236699724
253,120,1,1420223047872
254,121,1,1420201205682
255,122,1,1420231775941
256,123,0,1420206410625
257,124,1,1420236595584
258,125,0,1420213178703
259,126,1,1420241498737
260,127,1,1420175323690
261,128,0,1420212755220
262,129,1,1420192363203
263,130,0,1420217372999
264,131,0,1420239467513
265,132,1,1420187213216
266,133,0,1420207557192
267,1,1,1420312938962
268,2,1,1420324407069
269,3,1,1420286723456
270,4,1,1420312756145
271,5,0,1420280360796
272,6,1,1420302108485
273,7,1,1420285400888
274,8,1,1420313931276
275,9,1,1420279861781
276,10,0,1420300258039
277,11,0,1420282438849
278,12,1,1420264811320
279,13,1,1420293325215
280,14,1,1420318474691
281,15,1,1420279719909
282,16,1,1420248723611
283,17,0,1420246451045
284,18,1,1420285551531
285,19,1,1420248005509
286,20,1,1420320364748
287,21,1,1420320690676
288,22,1,1420246430484
289,23,1,1420312420038
290,24,1,1420254515973
291,25,1,1420325341210
292,26,1,1420276112529
293,27,1,1420294488014
294,28,1,1420258041904
295,29,0,1420257278577
296,30,0,1420263155725
297,31,0,1420283706668
298,32,1,1420248898032
299,33,1,1420244210364
300,34,1,1420300862449
301,35,1,1420321683472
302,36,1,1420292074048
303,37,1,1420254556421
304,38,1,1420282335324
305,39,1,1420247628579
306,40,1,1420270269330
307,41,1,1420250923978
308,42,1,1420316974602
309,43,1,1420251489965
310,44,1,1420296052583
311,45,0,1420280341325
312,46,0,1420297255269
313,47,1,1420322581109
314,48,0,1420263398037
315,49,1,1420306863841
316,50,1,1420276414170
317,51,1,1420320918325
318,52,0,1420325591950
319,53,1,1420307877893
320,54,1,1420308480628
321,55,1,1420251383295
322,56,1,1420314935645
323,57,0,1420269237217
324,58,1,1420292296464
325,59,1,1420307420121
326,60,1,1420250827443
327,61,0,1420289294054
328,62,0,1420287942426
329,63,1,1420291415098
330,64,1,1420277629762
331,65,1,1420271804353
332,66,1,1420302487410
333,67,0,1420303594459
334,68,1,1420262443717
335,69,1,1420252553617
336,70,1,1420286437457
337,71,0,1420319522059
338,72,1,1420310890326
339,73,1,1420255023302
340,74,1,1420306261833
341,75,0,1420258282383
342,76,1,1420283317329
343,77,1,1420317687668
344,78,1,1420311966556
345,79,1,1420315461067
346,80,1,1420317335944
347,81,1,1420258088880
348,82,1,1420265136016
349,83,0,1420275618528
350,84,0,1420260043281
351,85,1,1420251327309
352,86,1,1420264964716
353,87,1,1420319154176
354,88,1,1420269636249
355,89,1,1420248439678
356,90,1,1420306269636
357,91,1,1420263200323
358,92,0,1420283841429
359,93,1,1420304874234
360,94,1,1420309901617
361,95,1,1420257605529
362,96,1,1420310846384
363,97,1,1420245099534
364,98,1,1420310958843
365,99,1,1420271972035
366,100,1,1420319302656
367,101,0,1420283495482
368,102,1,1420260742496
369,103,0,1420256360951
370,104,0,1420325949360
371,105,1,1420283997652
372,106,1,1420265442737
373,107,1,1420318325370
374,108,1,1420316912085
375,109,0,1420249532349
376,110,1,1420323129737
377,111,0,1420299330594
378,112,1,1420316543040
379,113,1,1420258450636
380,114,0,1420259579523
381,115,0,1420316395335
382,116,1,1420276538862
383,117,1,1420282097840
384,118,1,1420280377040
385,119,1,1420291186716
386,120,1,1420263292615
387,121,1,1420306986558
388,122,1,1420300292746
389,123,1,1420323637105
390,124,1,1420279411352
391,125,1,1420306401592
392,126,1,1420279476649
393,127,1,1420254736765
394,128,1,1420280972575
395,129,1,1420302950073
396,130,1,1420278301153
397,131,1,1420312277522
398,132,1,1420265378960
399,133,0,1420304067191
400,1,1,1420404341163
401,2,1,1420403684253
402,3,0,1420377191529
403,4,1,1420340116495
404,5,0,1420346357983
405,6,1,1420354031981
406,7,1,1420336586468
407,8,1,1420353375093
408,9,1,1420348946957
409,10,1,1420396579774
410,11,1,1420381459539
411,12,1,1420380996339
412,13,1,1420332499865
413,14,1,1420360612986
414,15,1,1420388201782
415,16,1,1420414734602
416,17,1,1420389528365
417,18,1,1420380193668
418,19,1,1420415287441
419,20,1,1420399696219
420,21,1,1420374817337
421,22,1,1420382738568
422,23,1,1420330645979
423,24,1,1420385453450
424,25,1,1420336486514
425,26,1,1420381602700
426,27,1,1420404766840
427,28,1,1420374682152
428,29,1,1420345718349
429,30,1,1420406380790
430,31,1,1420414116739
431,32,1,1420343742670
432,33,1,1420398125360
433,34,1,1420406136635
434,35,1,1420413547215
435,36,1,1420393611368
436,37,1,1420395439710
437,38,1,1420406725694
438,39,1,1420391474331
439,40,1,1420402420883
440,41,0,1420401355983
441,42,1,1420340366970
442,43,1,1420383954548
443,44,1,1420407962591
444,45,1,1420356569348
445,46,1,1420362196357
446,47,1,1420344274850
447,48,0,1420404143105
448,49,1,1420407656872
449,50,1,1420386653121
450,51,1,1420369992728
451,52,1,1420342982702
452,53,1,1420401912078
453,54,1,1420347871572
454,55,1,1420401974522
455,56,1,1420407335000
456,57,0,1420339942948
457,58,1,1420356951913
458,59,1,1420364174175
459,60,1,1420382655240
460,61,1,1420410168979
461,62,1,1420355855805
462,63,1,1420373801270
463,64,1,1420402031425
464,65,1,1420344562450
465,66,1,1420349972681
466,67,1,1420363663718
467,68,1,1420336513074
468,69,1,1420407928509
469,70,1,1420408728248
470,71,0,1420401509057
471,72,1,1420382181864
472,73,1,1420381963519
473,74,1,1420407092428
474,75,1,1420350049502
475,76,1,1420356316620
476,77,1,1420409897739
477,78,1,1420347007070
478,79,1,1420395526470
479,80,1,1420388797050
480,81,1,1420408395943
481,82,1,1420347141033
482,83,1,1420330795818
483,84,1,1420378001901
484,85,1,1420409516677
485,86,1,1420338103937
486,87,1,1420406557681
487,88,1,1420404512884
488,89,1,1420383020838
489,90,1,1420331065601
490,91,1,1420414970638
491,92,1,1420403919995
